Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,12.054561,12.054561,11.856945,12.005157,7.203441,2057042
2015-02-01,12.005157,12.350985,11.955753,12.350985,7.410949,2920826
2015-03-01,12.202773,12.746216,12.103965,12.647409,7.588812,675919
2015-04-01,12.548601,12.845024,12.548601,12.746216,7.648099,468105
2015-05-01,12.746216,12.746216,12.350985,12.548601,7.529525,1283211
2015-06-01,12.449793,12.548601,11.856945,12.252177,7.485206,410166
2015-07-01,12.212654,12.884547,11.758138,12.598005,7.696483,758010
2015-08-01,12.400389,12.598005,11.511118,11.856945,7.243746,2365400
2015-09-01,11.856945,12.845024,11.856945,12.785740,7.921827,436457
2015-10-01,12.785740,12.795620,12.341104,12.647409,7.836117,514817
2015-11-01,12.647409,12.845024,12.054561,12.746216,7.897334,346130
2015-12-01,12.746216,12.746216,12.350985,12.746216,8.030739,1334182
2016-01-01,12.746216,12.746216,12.331223,12.647409,7.968489,1088688
2016-02-01,12.647409,12.647409,12.350985,12.627647,8.102152,659578
2016-03-01,12.637528,13.625607,12.637528,13.012998,8.349396,90041
2016-04-01,12.943832,13.100000,12.400000,12.890000,8.418086,2633842
2016-05-01,12.900000,13.100000,12.500000,12.790000,8.403121,543288
2016-06-01,12.600000,13.010000,12.390000,12.740000,8.370270,1732110
2016-07-01,13.000000,13.400000,12.750000,13.400000,8.803897,6869918
2016-08-01,13.490000,13.490000,12.650000,12.700000,8.343991,4610014
2016-09-01,12.700000,12.900000,11.800000,12.600000,8.376678,1644132
2016-10-01,12.650000,12.900000,12.300000,12.640000,8.562887,1041489
2016-11-01,12.500000,12.520000,11.300000,12.000000,8.129322,22499315
2016-12-01,12.000000,12.150000,11.000000,11.850000,8.027706,13676337
2017-01-01,11.850000,12.000000,11.000000,11.500000,7.790600,790379
2017-02-01,11.450000,11.500000,10.650000,11.220000,7.600919,569083
2017-03-01,11.230000,11.470000,10.800000,11.280000,7.641563,1509052
2017-04-01,11.260000,11.350000,11.150000,11.300000,7.831237,603386
